Home Team,Away Team,Start Time,Player Type,Player Name,Strikeouts,Walks,Strikes,Single,Double,Triple,Home Runs
Miami Marlins,Chicago Cubs,Fri Apr 05 2024 15:32:28 GMT-0700 (Pacific Daylight Time),Pitcher,Pete Crooks,12,5,16,,,,
Miami Marlins,Chicago Cubs,Fri Apr 05 2024 15:32:28 GMT-0700 (Pacific Daylight Time),Pitcher,Jacquelyn Mills,12,5,17,,,,
Miami Marlins,Chicago Cubs,Fri Apr 05 2024 15:32:28 GMT-0700 (Pacific Daylight Time),Pitcher,Erika O'Keefe,3,1,14,,,,
Miami Marlins,Chicago Cubs,Fri Apr 05 2024 15:32:28 GMT-0700 (Pacific Daylight Time),Pitcher,Dominick Feeney II,2,0,7,,,,
Miami Marlins,Chicago Cubs,Fri Apr 05 2024 15:32:28 GMT-0700 (Pacific Daylight Time),Pitcher,Bonnie Orn,9,1,4,,,,
Miami Marlins,Washington Nationals,Mon Apr 08 2024 11:23:22 GMT-0700 (Pacific Daylight Time),Hitter,Joanna Turcotte,,,,3,2,0,1
Miami Marlins,Washington Nationals,Mon Apr 08 2024 11:23:22 GMT-0700 (Pacific Daylight Time),Hitter,Willis Barrows,,,,1,2,1,1
Miami Marlins,Washington Nationals,Mon Apr 08 2024 11:23:22 GMT-0700 (Pacific Daylight Time),Hitter,Kristine Schumm,,,,2,1,0,0
Miami Marlins,Washington Nationals,Mon Apr 08 2024 11:23:22 GMT-0700 (Pacific Daylight Time),Hitter,Dean Tromp,,,,3,1,0,2
Miami Marlins,Washington Nationals,Mon Apr 08 2024 11:23:22 GMT-0700 (Pacific Daylight Time),Pitcher,Jan Klein,7,3,1,,,,
Miami Marlins,Texas Rangers,Sun Apr 07 2024 00:05:52 GMT-0700 (Pacific Daylight Time),Hitter,Arthur Rodriguez I,,,,1,0,1,1
Miami Marlins,Texas Rangers,Sun Apr 07 2024 00:05:52 GMT-0700 (Pacific Daylight Time),Hitter,Vincent Shanahan,,,,1,1,1,1
Miami Marlins,Texas Rangers,Sun Apr 07 2024 00:05:52 GMT-0700 (Pacific Daylight Time),Pitcher,Gregory VonRueden,1,3,0,,,,
Miami Marlins,Texas Rangers,Sun Apr 07 2024 00:05:52 GMT-0700 (Pacific Daylight Time),Hitter,Kristen Labadie,,,,1,3,2,0
Miami Marlins,Texas Rangers,Sun Apr 07 2024 00:05:52 GMT-0700 (Pacific Daylight Time),Hitter,Kristi Volkman,,,,5,2,0,2
Miami Marlins,Kansas City Royals,Mon Apr 08 2024 07:49:55 GMT-0700 (Pacific Daylight Time),Hitter,Teresa Welch,,,,5,2,0,0
Miami Marlins,Kansas City Royals,Mon Apr 08 2024 07:49:55 GMT-0700 (Pacific Daylight Time),Pitcher,Dale Rau,15,2,5,,,,
Miami Marlins,Kansas City Royals,Mon Apr 08 2024 07:49:55 GMT-0700 (Pacific Daylight Time),Hitter,Gloria Quitzon,,,,5,0,1,0
Miami Marlins,Kansas City Royals,Mon Apr 08 2024 07:49:55 GMT-0700 (Pacific Daylight Time),Pitcher,Miss Iris Sporer,1,3,17,,,,
Miami Marlins,Kansas City Royals,Mon Apr 08 2024 07:49:55 GMT-0700 (Pacific Daylight Time),Pitcher,Lyle Barton DVM,15,0,15,,,,
Miami Marlins,Cleveland Guardians,Fri Apr 05 2024 17:12:16 GMT-0700 (Pacific Daylight Time),Pitcher,Roman Sipes,2,4,0,,,,
Miami Marlins,Cleveland Guardians,Fri Apr 05 2024 17:12:16 GMT-0700 (Pacific Daylight Time),Hitter,Dustin Gleason,,,,4,2,0,2
Miami Marlins,Cleveland Guardians,Fri Apr 05 2024 17:12:16 GMT-0700 (Pacific Daylight Time),Pitcher,Darryl Bogisich,12,2,15,,,,
Miami Marlins,Cleveland Guardians,Fri Apr 05 2024 17:12:16 GMT-0700 (Pacific Daylight Time),Hitter,Nadine Fritsch DVM,,,,2,3,0,1
Miami Marlins,Cleveland Guardians,Fri Apr 05 2024 17:12:16 GMT-0700 (Pacific Daylight Time),Pitcher,Rodney Homenick,8,3,19,,,,
Miami Marlins,Colorado Rockies,Mon Apr 08 2024 09:50:08 GMT-0700 (Pacific Daylight Time),Hitter,Sophie Nicolas,,,,1,1,0,2
Miami Marlins,Colorado Rockies,Mon Apr 08 2024 09:50:08 GMT-0700 (Pacific Daylight Time),Hitter,Miss Myrtle Kuhn,,,,3,0,2,2
Miami Marlins,Colorado Rockies,Mon Apr 08 2024 09:50:08 GMT-0700 (Pacific Daylight Time),Hitter,Kirk Balistreri Sr.,,,,0,0,2,0
Miami Marlins,Colorado Rockies,Mon Apr 08 2024 09:50:08 GMT-0700 (Pacific Daylight Time),Pitcher,Frankie Hills,8,5,19,,,,
Miami Marlins,Colorado Rockies,Mon Apr 08 2024 09:50:08 GMT-0700 (Pacific Daylight Time),Hitter,Bobbie Gerhold V,,,,4,0,0,0
Miami Marlins,Milwaukee Brewers,Fri Apr 05 2024 11:42:45 GMT-0700 (Pacific Daylight Time),Pitcher,Olga Hauck,12,0,1,,,,
Miami Marlins,Milwaukee Brewers,Fri Apr 05 2024 11:42:45 GMT-0700 (Pacific Daylight Time),Pitcher,Enrique Ortiz,4,4,16,,,,
Miami Marlins,Milwaukee Brewers,Fri Apr 05 2024 11:42:45 GMT-0700 (Pacific Daylight Time),Pitcher,Noah Ondricka,11,1,5,,,,
Miami Marlins,Milwaukee Brewers,Fri Apr 05 2024 11:42:45 GMT-0700 (Pacific Daylight Time),Pitcher,Sonia Ruecker III,8,4,4,,,,
Miami Marlins,Milwaukee Brewers,Fri Apr 05 2024 11:42:45 GMT-0700 (Pacific Daylight Time),Hitter,Dr. Terry Upton,,,,4,0,1,2
Miami Marlins,St. Louis Cardinals,Sun Apr 07 2024 14:59:05 GMT-0700 (Pacific Daylight Time),Hitter,Terry Miller,,,,5,1,2,0
Miami Marlins,St. Louis Cardinals,Sun Apr 07 2024 14:59:05 GMT-0700 (Pacific Daylight Time),Hitter,Clayton Tillman,,,,1,1,2,0
Miami Marlins,St. Louis Cardinals,Sun Apr 07 2024 14:59:05 GMT-0700 (Pacific Daylight Time),Pitcher,Molly Kessler,14,3,12,,,,
Miami Marlins,St. Louis Cardinals,Sun Apr 07 2024 14:59:05 GMT-0700 (Pacific Daylight Time),Hitter,David Hamill,,,,2,2,1,1
Miami Marlins,St. Louis Cardinals,Sun Apr 07 2024 14:59:05 GMT-0700 (Pacific Daylight Time),Hitter,Brandi Lemke,,,,2,0,1,1
Miami Marlins,Oakland Athletics,Tue Apr 09 2024 05:31:17 GMT-0700 (Pacific Daylight Time),Hitter,Mildred Yundt,,,,2,2,0,0
Miami Marlins,Oakland Athletics,Tue Apr 09 2024 05:31:17 GMT-0700 (Pacific Daylight Time),Pitcher,Leah Glover,11,3,19,,,,
Miami Marlins,Oakland Athletics,Tue Apr 09 2024 05:31:17 GMT-0700 (Pacific Daylight Time),Hitter,Isaac Ward,,,,3,0,2,0
Miami Marlins,Oakland Athletics,Tue Apr 09 2024 05:31:17 GMT-0700 (Pacific Daylight Time),Hitter,Mr. Anne Upton,,,,0,0,2,2
Miami Marlins,Oakland Athletics,Tue Apr 09 2024 05:31:17 GMT-0700 (Pacific Daylight Time),Pitcher,Miss Pat Wehner,3,1,9,,,,
New York Mets,Detroit Tigers,Mon Apr 08 2024 17:21:30 GMT-0700 (Pacific Daylight Time),Pitcher,Dominic Von,2,4,15,,,,
New York Mets,Detroit Tigers,Mon Apr 08 2024 17:21:30 GMT-0700 (Pacific Daylight Time),Hitter,Ted Hermann I,,,,1,1,0,1
New York Mets,Detroit Tigers,Mon Apr 08 2024 17:21:30 GMT-0700 (Pacific Daylight Time),Pitcher,Dr. Jodi Mills,10,2,0,,,,
New York Mets,Detroit Tigers,Mon Apr 08 2024 17:21:30 GMT-0700 (Pacific Daylight Time),Hitter,Marvin Hand,,,,1,1,2,1
New York Mets,Detroit Tigers,Mon Apr 08 2024 17:21:30 GMT-0700 (Pacific Daylight Time),Pitcher,Mamie Crooks,10,3,2,,,,
New York Mets,New York Yankees,Sun Apr 07 2024 04:41:13 GMT-0700 (Pacific Daylight Time),Pitcher,Randal Huels,14,5,15,,,,
New York Mets,New York Yankees,Sun Apr 07 2024 04:41:13 GMT-0700 (Pacific Daylight Time),Hitter,Lucas Little,,,,3,3,2,2
New York Mets,New York Yankees,Sun Apr 07 2024 04:41:13 GMT-0700 (Pacific Daylight Time),Hitter,Miss Wilson Konopelski,,,,2,1,1,0
New York Mets,New York Yankees,Sun Apr 07 2024 04:41:13 GMT-0700 (Pacific Daylight Time),Pitcher,Verna Christiansen I,11,1,17,,,,
New York Mets,New York Yankees,Sun Apr 07 2024 04:41:13 GMT-0700 (Pacific Daylight Time),Hitter,Dwayne Blick,,,,4,0,2,0
New York Mets,San Diego Padres,Fri Apr 05 2024 11:18:52 GMT-0700 (Pacific Daylight Time),Pitcher,Dr. Emma Heathcote,12,3,8,,,,
New York Mets,San Diego Padres,Fri Apr 05 2024 11:18:52 GMT-0700 (Pacific Daylight Time),Pitcher,Lyle Nicolas PhD,14,3,17,,,,
New York Mets,San Diego Padres,Fri Apr 05 2024 11:18:52 GMT-0700 (Pacific Daylight Time),Hitter,Otis Kulas,,,,1,2,1,1
New York Mets,San Diego Padres,Fri Apr 05 2024 11:18:52 GMT-0700 (Pacific Daylight Time),Pitcher,Miss Luke Mitchell,11,3,17,,,,
New York Mets,San Diego Padres,Fri Apr 05 2024 11:18:52 GMT-0700 (Pacific Daylight Time),Pitcher,Ms. Brenda Little,13,5,12,,,,
New York Mets,Chicago White Sox,Sat Apr 06 2024 23:36:50 GMT-0700 (Pacific Daylight Time),Pitcher,Kenny Thompson,3,1,12,,,,
New York Mets,Chicago White Sox,Sat Apr 06 2024 23:36:50 GMT-0700 (Pacific Daylight Time),Hitter,Kayla Weissnat,,,,1,0,0,1
New York Mets,Chicago White Sox,Sat Apr 06 2024 23:36:50 GMT-0700 (Pacific Daylight Time),Hitter,Clifford Emard,,,,5,0,1,2
New York Mets,Chicago White Sox,Sat Apr 06 2024 23:36:50 GMT-0700 (Pacific Daylight Time),Hitter,Gilberto Simonis,,,,5,1,1,0
New York Mets,Chicago White Sox,Sat Apr 06 2024 23:36:50 GMT-0700 (Pacific Daylight Time),Pitcher,Caleb Reilly,13,5,5,,,,
New York Mets,Pittsburgh Pirates,Mon Apr 08 2024 18:08:39 GMT-0700 (Pacific Daylight Time),Pitcher,Jonathan Bauch,2,0,3,,,,
New York Mets,Pittsburgh Pirates,Mon Apr 08 2024 18:08:39 GMT-0700 (Pacific Daylight Time),Hitter,Dr. Jordan Powlowski,,,,2,1,0,2
New York Mets,Pittsburgh Pirates,Mon Apr 08 2024 18:08:39 GMT-0700 (Pacific Daylight Time),Hitter,Doreen Gerlach,,,,4,3,2,1
New York Mets,Pittsburgh Pirates,Mon Apr 08 2024 18:08:39 GMT-0700 (Pacific Daylight Time),Hitter,Tony Bartell,,,,4,3,2,1
New York Mets,Pittsburgh Pirates,Mon Apr 08 2024 18:08:39 GMT-0700 (Pacific Daylight Time),Hitter,Kathryn Schroeder,,,,4,3,2,0
New York Mets,Atlanta Braves,Sun Apr 07 2024 17:32:07 GMT-0700 (Pacific Daylight Time),Pitcher,Armando Pouros,3,1,2,,,,
New York Mets,Atlanta Braves,Sun Apr 07 2024 17:32:07 GMT-0700 (Pacific Daylight Time),Hitter,Constance Pagac,,,,5,1,2,2
New York Mets,Atlanta Braves,Sun Apr 07 2024 17:32:07 GMT-0700 (Pacific Daylight Time),Hitter,Patti Wunsch,,,,2,1,0,1
New York Mets,Atlanta Braves,Sun Apr 07 2024 17:32:07 GMT-0700 (Pacific Daylight Time),Hitter,Lynette Dickens,,,,2,1,0,1
New York Mets,Atlanta Braves,Sun Apr 07 2024 17:32:07 GMT-0700 (Pacific Daylight Time),Hitter,Andres Brown,,,,1,1,0,2
New York Mets,Seattle Mariners,Fri Apr 05 2024 20:37:07 GMT-0700 (Pacific Daylight Time),Pitcher,Roy Emard,2,5,6,,,,
New York Mets,Seattle Mariners,Fri Apr 05 2024 20:37:07 GMT-0700 (Pacific Daylight Time),Pitcher,Dolores Heaney,14,4,6,,,,
New York Mets,Seattle Mariners,Fri Apr 05 2024 20:37:07 GMT-0700 (Pacific Daylight Time),Pitcher,Marie Heathcote II,12,5,9,,,,
New York Mets,Seattle Mariners,Fri Apr 05 2024 20:37:07 GMT-0700 (Pacific Daylight Time),Pitcher,Homer Mante,10,1,12,,,,
New York Mets,Seattle Mariners,Fri Apr 05 2024 20:37:07 GMT-0700 (Pacific Daylight Time),Pitcher,Ms. Enrique Hoeger,11,4,6,,,,
New York Mets,Houston Astros,Sun Apr 07 2024 01:15:56 GMT-0700 (Pacific Daylight Time),Hitter,Gary Cremin,,,,0,3,0,1
New York Mets,Houston Astros,Sun Apr 07 2024 01:15:56 GMT-0700 (Pacific Daylight Time),Hitter,Daniel Rippin,,,,1,0,0,0
New York Mets,Houston Astros,Sun Apr 07 2024 01:15:56 GMT-0700 (Pacific Daylight Time),Hitter,Miss Cora Yundt,,,,0,0,0,0
New York Mets,Houston Astros,Sun Apr 07 2024 01:15:56 GMT-0700 (Pacific Daylight Time),Pitcher,Mr. Bob Kessler,8,3,5,,,,
New York Mets,Houston Astros,Sun Apr 07 2024 01:15:56 GMT-0700 (Pacific Daylight Time),Hitter,Leona Lockman,,,,0,0,2,0
New York Mets,Toronto Blue Jays,Mon Apr 08 2024 18:05:22 GMT-0700 (Pacific Daylight Time),Hitter,Roderick Hauck MD,,,,1,1,1,0
New York Mets,Toronto Blue Jays,Mon Apr 08 2024 18:05:22 GMT-0700 (Pacific Daylight Time),Hitter,Amber Rau,,,,1,1,2,0
New York Mets,Toronto Blue Jays,Mon Apr 08 2024 18:05:22 GMT-0700 (Pacific Daylight Time),Pitcher,Janis Breitenberg,10,0,1,,,,
New York Mets,Toronto Blue Jays,Mon Apr 08 2024 18:05:22 GMT-0700 (Pacific Daylight Time),Hitter,Derrick Turcotte,,,,4,0,2,1
New York Mets,Toronto Blue Jays,Mon Apr 08 2024 18:05:22 GMT-0700 (Pacific Daylight Time),Pitcher,Russell Jakubowski,0,5,14,,,,
New York Mets,Baltimore Orioles,Fri Apr 05 2024 05:45:53 GMT-0700 (Pacific Daylight Time),Pitcher,Pat Fritsch,10,2,5,,,,
New York Mets,Baltimore Orioles,Fri Apr 05 2024 05:45:53 GMT-0700 (Pacific Daylight Time),Pitcher,Marian Ward,0,5,20,,,,
New York Mets,Baltimore Orioles,Fri Apr 05 2024 05:45:53 GMT-0700 (Pacific Daylight Time),Pitcher,Ms. Meghan Bernhard,9,1,5,,,,
New York Mets,Baltimore Orioles,Fri Apr 05 2024 05:45:53 GMT-0700 (Pacific Daylight Time),Hitter,Guillermo Koepp,,,,1,1,2,2
New York Mets,Baltimore Orioles,Fri Apr 05 2024 05:45:53 GMT-0700 (Pacific Daylight Time),Pitcher,Marianne Ledner,2,0,15,,,,
New York Mets,San Francisco Giants,Mon Apr 08 2024 12:04:10 GMT-0700 (Pacific Daylight Time),Hitter,Douglas Stanton,,,,5,2,1,0
New York Mets,San Francisco Giants,Mon Apr 08 2024 12:04:10 GMT-0700 (Pacific Daylight Time),Pitcher,Danny Moore,15,2,20,,,,
New York Mets,San Francisco Giants,Mon Apr 08 2024 12:04:10 GMT-0700 (Pacific Daylight Time),Hitter,Ms. Samantha Bashirian,,,,3,2,2,0
New York Mets,San Francisco Giants,Mon Apr 08 2024 12:04:10 GMT-0700 (Pacific Daylight Time),Hitter,Kim Oberbrunner,,,,5,3,1,0
New York Mets,San Francisco Giants,Mon Apr 08 2024 12:04:10 GMT-0700 (Pacific Daylight Time),Pitcher,Muriel Wilkinson,13,2,18,,,,
New York Mets,Philadelphia Phillies,Sat Apr 06 2024 19:04:36 GMT-0700 (Pacific Daylight Time),Hitter,Susie Grady,,,,5,2,2,2
New York Mets,Philadelphia Phillies,Sat Apr 06 2024 19:04:36 GMT-0700 (Pacific Daylight Time),Hitter,Erin Mosciski,,,,2,2,1,1
New York Mets,Philadelphia Phillies,Sat Apr 06 2024 19:04:36 GMT-0700 (Pacific Daylight Time),Hitter,Mrs. Lois Wolff,,,,1,3,2,1
New York Mets,Philadelphia Phillies,Sat Apr 06 2024 19:04:36 GMT-0700 (Pacific Daylight Time),Hitter,Mr. Vicky Doyle,,,,0,1,0,2
New York Mets,Philadelphia Phillies,Sat Apr 06 2024 19:04:36 GMT-0700 (Pacific Daylight Time),Hitter,Mr. Marianne Balistreri,,,,4,3,0,2
New York Mets,Milwaukee Brewers,Mon Apr 08 2024 14:41:48 GMT-0700 (Pacific Daylight Time),Pitcher,James Runolfsson,15,0,12,,,,
New York Mets,Milwaukee Brewers,Mon Apr 08 2024 14:41:48 GMT-0700 (Pacific Daylight Time),Hitter,Sophia Lind IV,,,,5,3,1,0
New York Mets,Milwaukee Brewers,Mon Apr 08 2024 14:41:48 GMT-0700 (Pacific Daylight Time),Pitcher,Violet Roberts,2,3,4,,,,
New York Mets,Milwaukee Brewers,Mon Apr 08 2024 14:41:48 GMT-0700 (Pacific Daylight Time),Hitter,Ella Dare,,,,4,3,0,1
New York Mets,Milwaukee Brewers,Mon Apr 08 2024 14:41:48 GMT-0700 (Pacific Daylight Time),Pitcher,Randolph Pollich,10,3,14,,,,
New York Mets,St. Louis Cardinals,Sat Apr 06 2024 14:31:59 GMT-0700 (Pacific Daylight Time),Hitter,Gilbert Treutel,,,,1,1,2,2
New York Mets,St. Louis Cardinals,Sat Apr 06 2024 14:31:59 GMT-0700 (Pacific Daylight Time),Pitcher,Natalie Weber,11,5,1,,,,
New York Mets,St. Louis Cardinals,Sat Apr 06 2024 14:31:59 GMT-0700 (Pacific Daylight Time),Hitter,Ms. Paulette Wintheiser,,,,4,3,1,0
New York Mets,St. Louis Cardinals,Sat Apr 06 2024 14:31:59 GMT-0700 (Pacific Daylight Time),Pitcher,Denise Collins,4,2,9,,,,
New York Mets,St. Louis Cardinals,Sat Apr 06 2024 14:31:59 GMT-0700 (Pacific Daylight Time),Pitcher,Doris West,4,5,9,,,,
New York Mets,Los Angeles Angels,Sun Apr 07 2024 23:44:37 GMT-0700 (Pacific Daylight Time),Pitcher,Shawna Botsford,14,3,5,,,,
New York Mets,Los Angeles Angels,Sun Apr 07 2024 23:44:37 GMT-0700 (Pacific Daylight Time),Pitcher,Natalie Fritsch,1,3,19,,,,
New York Mets,Los Angeles Angels,Sun Apr 07 2024 23:44:37 GMT-0700 (Pacific Daylight Time),Hitter,Mrs. Eduardo Casper,,,,1,2,2,2
New York Mets,Los Angeles Angels,Sun Apr 07 2024 23:44:37 GMT-0700 (Pacific Daylight Time),Pitcher,Johanna Nolan,3,4,17,,,,
New York Mets,Los Angeles Angels,Sun Apr 07 2024 23:44:37 GMT-0700 (Pacific Daylight Time),Pitcher,Salvatore Gislason,6,1,13,,,,
Detroit Tigers,Pittsburgh Pirates,Fri Apr 05 2024 06:27:59 GMT-0700 (Pacific Daylight Time),Hitter,Julius Dibbert,,,,2,3,2,2
Detroit Tigers,Pittsburgh Pirates,Fri Apr 05 2024 06:27:59 GMT-0700 (Pacific Daylight Time),Hitter,Emanuel Dietrich,,,,1,3,1,1
Detroit Tigers,Pittsburgh Pirates,Fri Apr 05 2024 06:27:59 GMT-0700 (Pacific Daylight Time),Hitter,Robin Hoeger,,,,0,0,1,1
Detroit Tigers,Pittsburgh Pirates,Fri Apr 05 2024 06:27:59 GMT-0700 (Pacific Daylight Time),Pitcher,Dr. Lynn Ryan,3,0,11,,,,
Detroit Tigers,Pittsburgh Pirates,Fri Apr 05 2024 06:27:59 GMT-0700 (Pacific Daylight Time),Hitter,Miss Alan Hilpert,,,,5,3,1,0
Detroit Tigers,Cincinnati Reds,Sat Apr 06 2024 12:39:00 GMT-0700 (Pacific Daylight Time),Hitter,Candace Cummings,,,,3,0,0,0
Detroit Tigers,Cincinnati Reds,Sat Apr 06 2024 12:39:00 GMT-0700 (Pacific Daylight Time),Hitter,Faye Haley,,,,2,0,1,0
Detroit Tigers,Cincinnati Reds,Sat Apr 06 2024 12:39:00 GMT-0700 (Pacific Daylight Time),Pitcher,Dr. Shelley Klein,1,5,3,,,,
Detroit Tigers,Cincinnati Reds,Sat Apr 06 2024 12:39:00 GMT-0700 (Pacific Daylight Time),Hitter,Eileen Herzog,,,,2,3,0,0
Detroit Tigers,Cincinnati Reds,Sat Apr 06 2024 12:39:00 GMT-0700 (Pacific Daylight Time),Pitcher,Randall Cole,9,5,9,,,,
Detroit Tigers,Atlanta Braves,Fri Apr 05 2024 04:11:43 GMT-0700 (Pacific Daylight Time),Hitter,Lula Wehner,,,,2,0,1,0
Detroit Tigers,Atlanta Braves,Fri Apr 05 2024 04:11:43 GMT-0700 (Pacific Daylight Time),Pitcher,Brent Zboncak,5,3,14,,,,
Detroit Tigers,Atlanta Braves,Fri Apr 05 2024 04:11:43 GMT-0700 (Pacific Daylight Time),Pitcher,Rufus Fay,1,0,16,,,,
Detroit Tigers,Atlanta Braves,Fri Apr 05 2024 04:11:43 GMT-0700 (Pacific Daylight Time),Pitcher,Marianne Lubowitz,1,5,5,,,,
Detroit Tigers,Atlanta Braves,Fri Apr 05 2024 04:11:43 GMT-0700 (Pacific Daylight Time),Pitcher,Sabrina Yundt,2,2,4,,,,
Detroit Tigers,Los Angeles Dodgers,Sun Apr 07 2024 17:42:35 GMT-0700 (Pacific Daylight Time),Hitter,Bruce Morar,,,,0,0,2,0
Detroit Tigers,Los Angeles Dodgers,Sun Apr 07 2024 17:42:35 GMT-0700 (Pacific Daylight Time),Pitcher,Cornelius Kris,6,4,8,,,,
Detroit Tigers,Los Angeles Dodgers,Sun Apr 07 2024 17:42:35 GMT-0700 (Pacific Daylight Time),Hitter,Olivia Conn,,,,5,2,0,0
Detroit Tigers,Los Angeles Dodgers,Sun Apr 07 2024 17:42:35 GMT-0700 (Pacific Daylight Time),Hitter,Rex Rohan,,,,5,0,1,0
Detroit Tigers,Los Angeles Dodgers,Sun Apr 07 2024 17:42:35 GMT-0700 (Pacific Daylight Time),Hitter,Jessica Haag,,,,3,2,2,0
Detroit Tigers,Texas Rangers,Mon Apr 08 2024 21:02:32 GMT-0700 (Pacific Daylight Time),Pitcher,Michelle Buckridge,2,0,18,,,,
Detroit Tigers,Texas Rangers,Mon Apr 08 2024 21:02:32 GMT-0700 (Pacific Daylight Time),Hitter,Geneva Kris,,,,2,0,0,2
Detroit Tigers,Texas Rangers,Mon Apr 08 2024 21:02:32 GMT-0700 (Pacific Daylight Time),Hitter,Elias Dooley,,,,1,1,1,1
Detroit Tigers,Texas Rangers,Mon Apr 08 2024 21:02:32 GMT-0700 (Pacific Daylight Time),Hitter,Rodolfo Shanahan,,,,2,3,1,1
Detroit Tigers,Texas Rangers,Mon Apr 08 2024 21:02:32 GMT-0700 (Pacific Daylight Time),Pitcher,Flora Lowe,1,2,20,,,,
Detroit Tigers,Boston Red Sox,Sat Apr 06 2024 07:33:11 GMT-0700 (Pacific Daylight Time),Pitcher,Gretchen Orn,12,3,13,,,,
Detroit Tigers,Boston Red Sox,Sat Apr 06 2024 07:33:11 GMT-0700 (Pacific Daylight Time),Pitcher,Raymond Ruecker,6,5,2,,,,
Detroit Tigers,Boston Red Sox,Sat Apr 06 2024 07:33:11 GMT-0700 (Pacific Daylight Time),Hitter,Robert Gulgowski,,,,4,3,1,0
Detroit Tigers,Boston Red Sox,Sat Apr 06 2024 07:33:11 GMT-0700 (Pacific Daylight Time),Hitter,Mrs. Bertha Bahringer,,,,1,0,0,2
Detroit Tigers,Boston Red Sox,Sat Apr 06 2024 07:33:11 GMT-0700 (Pacific Daylight Time),Pitcher,Kristin Beahan,8,1,14,,,,
Detroit Tigers,Houston Astros,Fri Apr 05 2024 04:13:33 GMT-0700 (Pacific Daylight Time),Hitter,Johnnie Morar,,,,0,3,0,0
Detroit Tigers,Houston Astros,Fri Apr 05 2024 04:13:33 GMT-0700 (Pacific Daylight Time),Pitcher,Alex Haag,12,4,11,,,,
Detroit Tigers,Houston Astros,Fri Apr 05 2024 04:13:33 GMT-0700 (Pacific Daylight Time),Pitcher,Pat Murazik,1,4,15,,,,
Detroit Tigers,Houston Astros,Fri Apr 05 2024 04:13:33 GMT-0700 (Pacific Daylight Time),Hitter,Courtney Nikolaus,,,,4,2,0,0
